Total Number of Comms,Solution
13,"defaultdict(<class 'list'>, {'1': ['1'], '10': ['10'], '11': ['11'], '12': ['12', '20', '21', '24', '27', '28', '29', '8'], '13': ['13', '14', '15', '22', '23', '25', '26', '5'], '16': ['16', '17', '6'], '18': ['18'], '19': ['19'], '2': ['2'], '3': ['3'], '4': ['4'], '7': ['7'], '9': ['9']})"
13,"defaultdict(<class 'list'>, {'1': ['1', '10', '16', '17', '2', '4', '5', '6'], '11': ['11', '18', '19'], '12': ['12', '20', '21', '24', '27', '28', '29', '8'], '13': ['13'], '14': ['14'], '15': ['15'], '22': ['22'], '23': ['23'], '25': ['25'], '26': ['26'], '3': ['3'], '7': ['7'], '9': ['9']})"
13,"defaultdict(<class 'list'>, {'1': ['1', '10', '11', '19', '2', '3', '7', '8'], '12': ['12'], '13': ['13', '14', '15', '16', '17', '23', '5', '6'], '18': ['18'], '20': ['20'], '21': ['21'], '22': ['22', '25', '26'], '24': ['24'], '27': ['27'], '28': ['28'], '29': ['29'], '4': ['4'], '9': ['9']})"
13,"defaultdict(<class 'list'>, {'1': ['1'], '10': ['10'], '11': ['11', '18', '19'], '12': ['12', '20', '21', '24', '27', '28', '29', '8'], '13': ['13', '14', '15', '22', '23', '25', '26', '5'], '16': ['16'], '17': ['17'], '2': ['2'], '3': ['3'], '4': ['4'], '6': ['6'], '7': ['7'], '9': ['9']})"
13,"defaultdict(<class 'list'>, {'1': ['1', '10', '2', '3', '4', '7', '8', '9'], '11': ['11'], '12': ['12'], '13': ['13', '14', '15', '22', '23', '25', '26', '5'], '16': ['16', '17', '6'], '18': ['18'], '19': ['19'], '20': ['20'], '21': ['21'], '24': ['24'], '27': ['27'], '28': ['28'], '29': ['29']})"
15,"defaultdict(<class 'list'>, {'1': ['1', '10', '16', '17', '2', '4', '5', '6'], '11': ['11'], '12': ['12', '20', '21', '24', '27', '28', '29', '8'], '13': ['13'], '14': ['14'], '15': ['15'], '18': ['18'], '19': ['19'], '22': ['22'], '23': ['23'], '25': ['25'], '26': ['26'], '3': ['3'], '7': ['7'], '9': ['9']})"
15,"defaultdict(<class 'list'>, {'1': ['1'], '10': ['10'], '11': ['11', '12', '18', '19', '20', '21', '29', '8'], '13': ['13', '14', '15', '22', '23', '25', '26', '5'], '16': ['16'], '17': ['17'], '2': ['2'], '24': ['24'], '27': ['27'], '28': ['28'], '3': ['3'], '4': ['4'], '6': ['6'], '7': ['7'], '9': ['9']})"
15,"defaultdict(<class 'list'>, {'1': ['1', '10', '11', '19', '2', '3', '7', '8'], '12': ['12'], '13': ['13', '14', '15', '22', '23', '25', '26', '5'], '16': ['16'], '17': ['17'], '18': ['18'], '20': ['20'], '21': ['21'], '24': ['24'], '27': ['27'], '28': ['28'], '29': ['29'], '4': ['4'], '6': ['6'], '9': ['9']})"
15,"defaultdict(<class 'list'>, {'1': ['1', '10', '2', '3', '4', '7', '8', '9'], '11': ['11'], '12': ['12'], '13': ['13', '14', '15', '22', '23', '25', '26', '5'], '16': ['16'], '17': ['17'], '18': ['18'], '19': ['19'], '20': ['20'], '21': ['21'], '24': ['24'], '27': ['27'], '28': ['28'], '29': ['29'], '6': ['6']})"
15,"defaultdict(<class 'list'>, {'1': ['1'], '10': ['10'], '11': ['11'], '12': ['12', '20', '21', '24', '27', '28', '29', '8'], '13': ['13', '14', '16', '17', '4', '5', '6', '9'], '15': ['15'], '18': ['18'], '19': ['19'], '2': ['2'], '22': ['22'], '23': ['23'], '25': ['25'], '26': ['26'], '3': ['3'], '7': ['7']})"
15,"defaultdict(<class 'list'>, {'1': ['1'], '10': ['10'], '11': ['11'], '12': ['12', '20', '21', '24', '27', '28', '29', '8'], '13': ['13', '14', '15', '22', '23', '25', '26', '5'], '16': ['16'], '17': ['17'], '18': ['18'], '19': ['19'], '2': ['2'], '3': ['3'], '4': ['4'], '6': ['6'], '7': ['7'], '9': ['9']})"
15,"defaultdict(<class 'list'>, {'1': ['1'], '10': ['10'], '11': ['11', '12', '18', '19', '20', '21', '29', '8'], '13': ['13', '14', '15', '16', '17', '23', '5', '6'], '2': ['2'], '22': ['22'], '24': ['24'], '25': ['25'], '26': ['26'], '27': ['27'], '28': ['28'], '3': ['3'], '4': ['4'], '7': ['7'], '9': ['9']})"
15,"defaultdict(<class 'list'>, {'1': ['1', '10', '11', '19', '2', '3', '7', '8'], '12': ['12'], '13': ['13', '14', '15', '16', '17', '23', '5', '6'], '18': ['18'], '20': ['20'], '21': ['21'], '22': ['22'], '24': ['24'], '25': ['25'], '26': ['26'], '27': ['27'], '28': ['28'], '29': ['29'], '4': ['4'], '9': ['9']})"
16,"defaultdict(<class 'list'>, {'1': ['1', '10', '2', '3', '4', '7', '8', '9'], '11': ['11'], '12': ['12', '20', '21', '24', '27', '28', '29'], '13': ['13'], '14': ['14'], '15': ['15'], '16': ['16'], '17': ['17'], '18': ['18'], '19': ['19'], '22': ['22'], '23': ['23'], '25': ['25'], '26': ['26'], '5': ['5'], '6': ['6']})"
22,"defaultdict(<class 'list'>, {'1': ['1'], '10': ['10'], '11': ['11'], '12': ['12', '20', '21', '24', '27', '28', '29', '8'], '13': ['13'], '14': ['14'], '15': ['15'], '16': ['16'], '17': ['17'], '18': ['18'], '19': ['19'], '2': ['2'], '22': ['22'], '23': ['23'], '25': ['25'], '26': ['26'], '3': ['3'], '4': ['4'], '5': ['5'], '6': ['6'], '7': ['7'], '9': ['9']})"
22,"defaultdict(<class 'list'>, {'1': ['1'], '10': ['10'], '11': ['11'], '12': ['12'], '13': ['13', '14', '15', '22', '23', '25', '26', '5'], '16': ['16'], '17': ['17'], '18': ['18'], '19': ['19'], '2': ['2'], '20': ['20'], '21': ['21'], '24': ['24'], '27': ['27'], '28': ['28'], '29': ['29'], '3': ['3'], '4': ['4'], '6': ['6'], '7': ['7'], '8': ['8'], '9': ['9']})"
22,"defaultdict(<class 'list'>, {'1': ['1'], '10': ['10'], '11': ['11', '12', '18', '19', '20', '21', '29', '8'], '13': ['13'], '14': ['14'], '15': ['15'], '16': ['16'], '17': ['17'], '2': ['2'], '22': ['22'], '23': ['23'], '24': ['24'], '25': ['25'], '26': ['26'], '27': ['27'], '28': ['28'], '3': ['3'], '4': ['4'], '5': ['5'], '6': ['6'], '7': ['7'], '9': ['9']})"
22,"defaultdict(<class 'list'>, {'1': ['1', '10', '2', '3', '4', '7', '8', '9'], '11': ['11'], '12': ['12'], '13': ['13'], '14': ['14'], '15': ['15'], '16': ['16'], '17': ['17'], '18': ['18'], '19': ['19'], '20': ['20'], '21': ['21'], '22': ['22'], '23': ['23'], '24': ['24'], '25': ['25'], '26': ['26'], '27': ['27'], '28': ['28'], '29': ['29'], '5': ['5'], '6': ['6']})"
22,"defaultdict(<class 'list'>, {'1': ['1'], '10': ['10'], '11': ['11'], '12': ['12'], '13': ['13', '14', '15', '16', '17', '23', '5', '6'], '18': ['18'], '19': ['19'], '2': ['2'], '20': ['20'], '21': ['21'], '22': ['22'], '24': ['24'], '25': ['25'], '26': ['26'], '27': ['27'], '28': ['28'], '29': ['29'], '3': ['3'], '4': ['4'], '7': ['7'], '8': ['8'], '9': ['9']})"
29,"defaultdict(<class 'list'>, {'1': ['1'], '10': ['10'], '11': ['11'], '12': ['12'], '13': ['13'], '14': ['14'], '15': ['15'], '16': ['16'], '17': ['17'], '18': ['18'], '19': ['19'], '2': ['2'], '20': ['20'], '21': ['21'], '22': ['22'], '23': ['23'], '24': ['24'], '25': ['25'], '26': ['26'], '27': ['27'], '28': ['28'], '29': ['29'], '3': ['3'], '4': ['4'], '5': ['5'], '6': ['6'], '7': ['7'], '8': ['8'], '9': ['9']})"
