Time Cost: 0.0027267932891845703s
Community 1: ['100']
Community 2: ['101']
Community 3: ['102']
Community 4: ['103']
Community 5: ['104']
Community 6: ['105']
Community 7: ['106']
Community 8: ['107']
Community 9: ['108']
Community 10: ['109']
Community 11: ['110']
Community 12: ['111']
Community 13: ['112']
Community 14: ['113']
Community 15: ['114']
Community 16: ['115']
Community 17: ['116']
Community 18: ['117']
Community 19: ['118']
Community 20: ['119']
Community 21: ['120']
Community 22: ['121']
Community 23: ['122']
Community 24: ['123']
Community 25: ['124']
Community 26: ['125']
Community 27: ['126']
Community 28: ['127']
Community 29: ['128']
Community 30: ['129']
Community 31: ['130']
Community 32: ['131']
Community 33: ['132']
Community 34: ['133']
Community 35: ['134']
Community 36: ['135']
Community 37: ['136']
Community 38: ['137']
Community 39: ['91']
Community 40: ['92']
Community 41: ['93']
Community 42: ['94']
Community 43: ['95']
Community 44: ['96']
Community 45: ['97']
Community 46: ['98']
Community 47: ['99']
Community 48: ['out']
