Time Cost: 57.57107329368591s
Community 1: ['7490']
Community 2: ['7491']
Community 3: ['7492']
Community 4: ['7493']
Community 5: ['7494']
Community 6: ['7495']
Community 7: ['7496']
Community 8: ['7497']
Community 9: ['7498']
Community 10: ['7499']
Community 11: ['7500']
Community 12: ['7501']
Community 13: ['7502']
Community 14: ['7503']
Community 15: ['7504']
Community 16: ['7505']
Community 17: ['7506']
Community 18: ['7507']
Community 19: ['7508']
Community 20: ['7509']
Community 21: ['7510']
Community 22: ['7511']
Community 23: ['7512']
Community 24: ['7513']
Community 25: ['7514']
Community 26: ['7515']
Community 27: ['7516']
Community 28: ['7517']
Community 29: ['7518']
Community 30: ['7519']
Community 31: ['7520']
Community 32: ['7521']
Community 33: ['7522']
Community 34: ['7523']
Community 35: ['7524']
Community 36: ['7525']
Community 37: ['7526']
Community 38: ['7527']
Community 39: ['7528']
Community 40: ['7529']
Community 41: ['7530']
Community 42: ['7531']
Community 43: ['7532']
Community 44: ['7533']
Community 45: ['7534']
Community 46: ['7535']
Community 47: ['7536']
Community 48: ['7537']
Community 49: ['7538']
Community 50: ['7539', '7540']
Community 51: ['7541']
Community 52: ['7542']
Community 53: ['7543']
Community 54: ['7544']
Community 55: ['7545']
Community 56: ['7546']
Community 57: ['7547']
Community 58: ['7548']
Community 59: ['7549']
Community 60: ['7550']
Community 61: ['7551']
Community 62: ['7552']
Community 63: ['7553']
Community 64: ['7554']
Community 65: ['7555']
Community 66: ['7556']
Community 67: ['7557']
Community 68: ['7558']
Community 69: ['7559']
Community 70: ['7560']
Community 71: ['7561']
Community 72: ['7562']
Community 73: ['7563']
Community 74: ['7564']
Community 75: ['7565']
Community 76: ['7566']
Community 77: ['7567']
Community 78: ['7568']
Community 79: ['7569']
Community 80: ['7570']
Community 81: ['7571']
Community 82: ['7572']
Community 83: ['7573']
Community 84: ['7574']
Community 85: ['7575']
Community 86: ['7576']
Community 87: ['7577']
Community 88: ['7578']
Community 89: ['7579']
Community 90: ['7580']
Community 91: ['7581']
Community 92: ['7582']
Community 93: ['7583']
Community 94: ['7584']
Community 95: ['7585']
Community 96: ['7586']
Community 97: ['7587']
Community 98: ['7588']
Community 99: ['7589']
Community 100: ['7590']
Community 101: ['7591']
Community 102: ['7592']
Community 103: ['7593']
Community 104: ['7594']
Community 105: ['7595']
Community 106: ['7596']
Community 107: ['7597']
Community 108: ['7598']
Community 109: ['7599']
Community 110: ['7600']
Community 111: ['7601']
Community 112: ['7602']
Community 113: ['7603']
Community 114: ['7604']
Community 115: ['7605']
Community 116: ['7606']
Community 117: ['7607']
Community 118: ['7608']
Community 119: ['7609']
Community 120: ['7610']
Community 121: ['7611']
Community 122: ['7612']
Community 123: ['7613']
Community 124: ['7614']
Community 125: ['7615']
Community 126: ['7616']
Community 127: ['7617']
Community 128: ['7618']
Community 129: ['7619']
Community 130: ['7620']
Community 131: ['7621']
Community 132: ['7622']
Community 133: ['7623']
Community 134: ['7624']
Community 135: ['7625']
Community 136: ['7626']
Community 137: ['7627']
Community 138: ['7628']
Community 139: ['7629']
Community 140: ['7630']
Community 141: ['7631']
Community 142: ['7632']
Community 143: ['7633']
Community 144: ['7634']
Community 145: ['7635']
Community 146: ['7636']
Community 147: ['7637']
Community 148: ['7638']
Community 149: ['7639']
Community 150: ['7640']
Community 151: ['7641']
Community 152: ['7642']
Community 153: ['7643']
Community 154: ['7644']
Community 155: ['7645']
Community 156: ['7646']
Community 157: ['7647']
Community 158: ['7648']
Community 159: ['7649']
Community 160: ['7650']
Community 161: ['7651']
Community 162: ['7652']
Community 163: ['7653']
Community 164: ['7654']
Community 165: ['7655']
Community 166: ['7656']
Community 167: ['7657']
Community 168: ['7658']
Community 169: ['7659']
Community 170: ['7660']
Community 171: ['7661']
Community 172: ['7662']
Community 173: ['7663']
Community 174: ['7664']
Community 175: ['7665']
Community 176: ['7666']
Community 177: ['7667']
